Name,Forcefield,Lipid,Software,Files
Wu2014_P3-OH_PWI7,charmm36,"PWI7 - PIP3[3',4',5'](16:0/​​18:3(9Z,12Z,15Z))",Charmm,"PWI7.pdb,  PWI7.str"
Wu2014_P4-OH_PWI7,charmm36,"PWI7 - PIP3[3',4',5'](16:0/​​18:3(9Z,12Z,15Z))",Charmm,"PWI7.pdb,  PWI7.str"
Wu2014_P5-OH_PWI7,charmm36,"PWI7 - PIP3[3',4',5'](16:0/​​18:3(9Z,12Z,15Z))",Charmm,"PWI7.pdb,  PWI7.str"
Wu2014_P3-OH_PII7,charmm36,"PII7 - PIP3[3',4',5'](16:0/​​​18:2(9Z,12Z))",Charmm,"PII7.pdb,  PII7.str"
Wu2014_P4-OH_PII7,charmm36,"PII7 - PIP3[3',4',5'](16:0/​​​18:2(9Z,12Z))",Charmm,"PII7.pdb,  PII7.str"
Wu2014_P5-OH_PII7,charmm36,"PII7 - PIP3[3',4',5'](16:0/​​​18:2(9Z,12Z))",Charmm,"PII7.pdb,  PII7.str"
Klauda2010_DEPA,charmm36,DEPA - PA(22:1(13Z)/​​22:1(13Z)),Charmm,"DEPA.pdb,  DEPA.str"
Klauda2010_DNPA,charmm36,DNPA - PA(24:1(15Z)/​​24:1(15Z)),Charmm,"DNPA.pdb,  DNPA.str"
Klauda2010_W1PA,charmm36,"W1PA - PA(18:3(9Z,12Z,15Z)/​​16:3(7Z,10Z,13Z))",Charmm,"W1PA.pdb,  W1PA.str"
Klauda2010_D1PA,charmm36,"D1PA - PA(​​16:3(7Z,10Z,13Z)/​​​​16:3(7Z,10Z,13Z))",Charmm,"D1PA.pdb,  D1PA.str"
Wu2014_-1_TMCL,charmm36,"TMCL - CL(1'-[14:0/​14:0],3'-[14:0/​14:0])",Charmm,"TMCL.pdb,  TMCL.str"
Wu2014_-2_TMCL,charmm36,"TMCL - CL(1'-[14:0/​14:0],3'-[14:0/​14:0])",Charmm,"TMCL.pdb,  TMCL.str"
Wu2014_-1_TYCL,charmm36,"TYCL - CL(1'-[16:1(9Z)/​16:1(9Z)],3'-[16:1(9Z)/​16:1(9Z)])",Charmm,"TYCL.pdb,  TYCL.str"
Wu2014_-2_TYCL,charmm36,"TYCL - CL(1'-[16:1(9Z)/​16:1(9Z)],3'-[16:1(9Z)/​16:1(9Z)])",Charmm,"TYCL.pdb,  TYCL.str"
Wu2014_-1_PTCL,charmm36,"PTCL - CL(1'-[16:0/​16:0(9Cp)],3'-[16:0/​16:0(9Cp)])",Charmm,"PTCL.pdb,  PTCL.str"
Wu2014_-2_PTCL,charmm36,"PTCL - CL(1'-[16:0/​16:0(9Cp)],3'-[16:0/​16:0(9Cp)])",Charmm,"PTCL.pdb,  PTCL.str"
Wu2014_-1_IWAC,charmm36,"IWAC - CL(1'-[18:2(9Z,12Z)/​18:3(9Z,12Z,15Z)],3'-[18:2(9Z,12Z)/​18:2(9Z,12Z)])",Charmm,"IWAC.pdb,  IWAC.str"
Wu2014_-2_IWAC,charmm36,"IWAC - CL(1'-[18:2(9Z,12Z)/​18:3(9Z,12Z,15Z)],3'-[18:2(9Z,12Z)/​18:2(9Z,12Z)])",Charmm,"IWAC.pdb,  IWAC.str"
Wu2014_-1_IWBC,charmm36,"IWBC - CL(1'-[18:3(9Z,12Z,15Z)/​18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/​18:2(9Z,12Z)])",Charmm,"IWBC.pdb,  IWBC.str"
Wu2014_-2_IWBC,charmm36,"IWBC - CL(1'-[18:3(9Z,12Z,15Z)/​18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/​18:2(9Z,12Z)])",Charmm,"IWBC.pdb,  IWBC.str"
Wu2014_-1_IWCC,charmm36,"IWCC - CL(1'-[18:2(9Z,12Z)/​18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/​18:3(9Z,12Z,15Z)])",Charmm,"IWCC.pdb,  IWCC.str"
Wu2014_-2_IWCC,charmm36,"IWCC - CL(1'-[18:2(9Z,12Z)/​18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/​18:3(9Z,12Z,15Z)])",Charmm,"IWCC.pdb,  IWCC.str"
Wu2014_-1_IWDC,charmm36,"IWDC - CL(1'-[18:2(9Z,12Z)/​18:2(9Z,12Z)],3'-[18:3(9Z,12Z,15Z)/​18:2(9Z,12Z)])",Charmm,"IWDC.pdb,  IWDC.str"
Wu2014_-2_IWDC,charmm36,"IWDC - CL(1'-[18:2(9Z,12Z)/​18:2(9Z,12Z)],3'-[18:3(9Z,12Z,15Z)/​18:2(9Z,12Z)])",Charmm,"IWDC.pdb,  IWDC.str"
Venable2014_CER4,charmm36,"CER4 - Cer(d18:2(4E,8E)(9Me)/​18:1(3E)(2OH))",Charmm,"CER4.pdb,  CER4.str"
Lim2012_CHNS,charmm36,CHNS - 17beta-methylandrost-5-en-3beta-ol,Charmm,"CHNS.pdb,  CHNS.str"
Pitman2004_CHNS,charmm36,CHNS - 17beta-methylandrost-5-en-3beta-ol,Charmm,"CHNS.pdb,  CHNS.str"
Lim2012D_CHSU,charmm36,CHSU - Cholesteryl hemisuccinate,Charmm,"CHSU.pdb,  CHSU.str"
Lim2012P_CHSU,charmm36,CHSU - Cholesteryl hemisuccinate,Charmm,"CHSU.pdb,  CHSU.str"
Wu2014_-1_PALM,charmm36,PALM - Palmitic acid - 16:0,Charmm,"PALM.pdb,  PALM.str"
Wu2014_0_PALM,charmm36,PALM - Palmitic acid - 16:0,Charmm,"PALM.pdb,  PALM.str"
Wu2014_-1_LAUR,charmm36,LAUR - Lauric acid - 12:0,Charmm,"LAUR.pdb,  LAUR.str"
Wu2014_0_LAUR,charmm36,LAUR - Lauric acid - 12:0,Charmm,"LAUR.pdb,  LAUR.str"
Wu2014_-1_MYRI,charmm36,MYRI - Myristic acid - 14:0,Charmm,"MYRI.pdb,  MYRI.str"
Wu2014_0_MYRI,charmm36,MYRI - Myristic acid - 14:0,Charmm,"MYRI.pdb,  MYRI.str"
Wu2014_-1_STEA,charmm36,STEA - Stearic acid - 18:0,Charmm,"STEA.pdb,  STEA.str"
Wu2014_0_STEA,charmm36,STEA - Stearic acid - 18:0,Charmm,"STEA.pdb,  STEA.str"
Wu2014_-1_ARAC,charmm36,ARAC - Arachidic acid - 20:0,Charmm,"ARAC.pdb,  ARAC.str"
